詳細,発句（俳句）,読み,季題１,出典
479,逃しなや水祝（は）るゝ五十聟,のがしなや　みずいわわるる　ごじゅうむこ,1新年,七番日記
480,用捨なく水祝ひけり五十聟,ようしゃなく　みずいわいけり　ごじゅうむこ,1新年,七番日記
481,門の春雀が先へ御慶哉,かどのまつ　すずめがさきへ　ぎょけいかな,1新年,七番日記
482,大御代やからたち垣も御慶帳,おおみよや　からたちがきも　ぎょけいちょう,1新年,七番日記
483,かつしかや川むかふから御慶いふ,かつしかや　かわむこうから　ぎょけいいう,1新年,七番日記
484,ざぶ～と泥わらんじの御慶哉,ざぶざぶと　どろわらんじの　ぎょけいかな,1新年,七番日記
485,ざぶ～と泥わらんじで御慶哉,ざぶざぶと　どろわらんじで　ぎょけいかな,1新年,浅黄空
486,武家丁やからたち藪も年始帳,ぶけまちや　からたちやぶも　ねんしちょう,1新年,七番日記
487,楽な世やからたち藪の年始帳,らくなよや　からたちやぶの　ねんしちょう,1新年,七番日記
488,今しがた来た年玉で御慶哉,いましがた　きたとしだまで　ぎょけいかな,1新年,八番日記
489,年頭に孫の笑（ふ）をみやげ哉,ねんとうに　まごのわらうを　みやげかな,1新年,八番日記
490,何よりも孫の笑がみやげ哉,なによりも　まごのわらいが　みやげかな,1新年,八番日記
491,白髪の天窓をふり立て御慶哉,はくはつの　あたまをふりたて　ぎょけいかな,1新年,八番日記
492,白髪天窓ふり立 ～御慶哉,しらがあたま　ふりたてふりたて　ぎょけいかな,1新年,希杖本
493,白髪天窓をふり立て御慶哉,はくはつ　あたまをふりたて　ぎょけいかな,1新年,梅塵八番他
494,深川や川向（ふ）にて御慶いふ,ふかがわや　かわむこうにて　ぎょけいいう,1新年,発句題叢
495,御年初を申入（れ）けり狐穴,おねんしょを　もうしいれけり　きつねあな,1新年,八番日記
496,年始札申入けり狐穴,ねんしふだ　もうしいりけり　きつねあな,1新年,梅塵八番
497,御年初の返事をするや二階から,おねんしょの　へんじをするや　にかいから,1新年,八番日記
498,御年始の返事をするや二階から,おねんしの　へんじをするや　にかいから,1新年,梅塵八番
499,堅人や一山越てから御慶,かたじんや　ひとやまこえて　からぎょけい,1新年,八番日記
500,堅人や山越して来ていふ御慶,かたじんや　やまこしてきて　いうぎょけい,1新年,浅黄空
501,堅人や山越して来て御慶,かたじんや　やまこしてきて　およろこび,1新年,自筆本
502,門礼や片側づゝは草履道,かどれいや　かたがわづつは　ぞうりみち,1新年,八番日記
503,門礼や猫にとし玉打つける,かどれいや　ねこにとしだま　うちつける,1新年,八番日記
504,上下で下たぶらさげて御慶哉,かみしもで　げたぶらさげて　ぎょけいかな,1新年,八番日記
505,下駄持と二役するや年初道,げたもちと　ふたやくするや　ねんしょみち,1新年,八番日記
506,下駄持と二役するや年始道,げたもちと　ふたやくするや　ねんしみち,1新年,梅塵八番
507,米値段許り見る也年初状,こめねだん　ばかりみるなり　ねんしょじょう,1新年,八番日記
508,米値段許り見る也年始帳,こめねだん　ばかりみるなり　ねんしちょう,1新年,梅塵八番
509,武士やいひわけ云てから御慶,さむらいや　いいわけいうて　からぎょけい,1新年,八番日記
510,年玉を貰ひに出る御慶かな,としだまを　もらいにいづる　ぎょけいかな,1新年,八番日記
511,年礼や下駄道あちは草履道,としれいや　げたみちあちは　ぞうりみち,1新年,八番日記
512,途中にて取替にする御慶哉,とちゅうにて　とりかえにする　ぎょけいかな,1新年,八番日記
513,武士村やからたち垣の年始状,ぶしむらや　からたちがきの　ねんしじょう,1新年,八番日記
514,坊主天窓をふり立て御慶哉,ぼうずあたま　をふりたてて　ぎょけいかな,1新年,八番日記
515,も一ツ狐の穴へ御慶かな,もひとつ　きつねのあなへ　ぎょけいかな,1新年,八番日記
516,画暦のはんじくらする礼者哉,えごよみの　はんじくらする　れいじゃかな,1新年,文政句帖
517,影法師に御慶を(申す)わらじ哉,かげぼうしに　ぎょうけいをもうす　わらじかな,1新年,文政句帖
518,むく起(の)小便ながら御慶哉,むくおきの　しょうべんながら　ぎょけいかな,1新年,文政句帖
519,親里の山へ向（つ）て御慶哉,おやざとの　やまへむかって　ぎょけいかな,1新年,文政句帖
520,供部屋がさはぎ勝也年始酒,ともべやが　さわぎかつなり　ねんしざけ,1新年,文政句帖
521,百旦那ころりころ～御慶哉,ひゃくだんな　ころりころころ　ぎょけいかな,1新年,文政句帖
522,両方に小便しながら御慶哉,りょうほうに　しょうべんしながら　ぎょけいかな,1新年,文政句帖
523,影法師もまめ息才で御慶かな,かげほうしも　まめそくさいで　ぎょけいかな,1新年,発句鈔追加
524,しんぼしてわらは笑（は）ぬ御慶哉,しんぼして　わらはわらわぬ　ぎょけいかな,1新年,浅黄空
525,つぶれ家の其身其まゝ御慶哉,つぶれやの　そのみそのまま　ぎょけいかな,1新年,希杖本
526,年礼やからたち垣に名前札,としふだや　からたちがきに　なまえふだ,1新年,発句集続篇
527,玉も玉御とし玉ぞまめな顔,たまもたま　おんとしだまぞ　まめなかお,1新年,七番日記
528,我庵やけさのとし玉とりに来る,わがいおや　けさのとしだま　とりにくる,1新年,七番日記
529,かくれ家や猫(に)も一ツ御年玉,かくれがや　ねこにもひとつ　おとしだま,1新年,八番日記
530,番丁や窓から投る御年玉,ばんちょうや　まどからほうる　おとしだま,1新年,八番日記
531,一番のとし玉ぞ其豆な顔,いちばんの　としだまぞその　まめなかお,1新年,八番日記
532,江戸衆や庵の犬にも御年玉,えどしゅうや　いおのいぬにも　おとしだま,1新年,八番日記
533,年玉を配る世わなき庵哉,としだまを　くばるせわなき　いおりかな,1新年,八番日記
534,とし玉を二人前とる小僧哉,としだまを　ににんまえとる　こぞうかな,1新年,八番日記
535,とし玉に見せ申（す）也豆な顔,としだまに　みせもうすなり　まめなかお,1新年,八番日記
536,とし玉の上にも猫のぐる寝哉,としだまの　うえにもねこの　ぐるねかな,1新年,八番日記
537,とし玉や留主の窓からほふりこみ,としだまや　るすのまどから　ほうりこみ,1新年,八番日記
538,とし玉を天窓におくやちいさい子,としだまを　あたまにおくや　ちいさいこ,1新年,文政句帖
539,とし玉のさいそくに来る孫子哉,としだまの　さいそくにくる　まごこかな,1新年,文政句帖
540,とし玉のさいそくに来る小わら哉,としだまの　さいそくにくる　こわらかな,1新年,文政句帖
541,年玉を犬にも投げる御寺哉,としだまを　いぬにもなげる　おてらかな,1新年,文政句帖
542,年玉をおくやいなりの穴の口,としだまを　おくやいなりの　あなのくち,1新年,文政句帖
543,年玉をおとして行くや留主の家,としだまを　おとしていくや　るすのいえ,1新年,文政句帖
544,年玉やかたり猫に(ぞ)打つける,としだまや　かたりねこにぞ　うちつける,1新年,文政句帖
545,年玉や猫の頭へすでの事,としだまや　ねこのあたまへ　すでのこと,1新年,文政句帖
546,年玉や懐の子も手ゝをして,としだまや　ふところのこも　ててをして,1新年,文政句帖
547,ばか猫や年玉入れの箕に眠る,ばかねこや　としだまいれの　みにねむる,1新年,文政句帖
548,巡り～ととる年玉扇哉,めぐりめぐりと　とるとしだま　おうぎかな,1新年,文政句帖
549,廻り～てもどる年玉扇哉,まわりまわりて　もどるとしだま　おうぎかな,1新年,自筆本
550,いく廻り目だぞとし玉扇又もどる,いくまわりめだぞ　としだまおうぎ　またもどる,1新年,浅黄空
551,草の戸やけさのとし玉とりに来る,くさのとや　けさのとしだま　とりにくる,1新年,浅黄空
552,こりよそけへいつけて置けよお年玉,こりよそこへ　いつけておけよ　おとしだま,1新年,真蹟
553,とし玉茶どこを廻て又もどる,としだまちゃ　どこをまわって　またもどる,1新年,浅黄空
554,書賃のみかんみい～吉書哉,かきちんの　みかんみいみい　きっしょかな,1新年,八番日記
555,小坊主が棒を引ても吉書始,こぼうずが　ぼうをひいても　きっしょはじめ,1新年,八番日記
556,つい～と棒を引ても吉書哉,ついついと　ぼうをひいても　きっしょかな,1新年,八番日記
557,子宝が棒を引ても吉書哉,こだからが　ぼうをひいても　きっしょかな,1新年,八番日記
558,わんぱくや先掌に筆はじめ,わんぱくや　まづてのひらに　ふではじめ,1新年,八番日記
559,わんぱくや先試みに筆はじめ,わんぱくや　まずこころみに　ふではじめ,1新年,希杖本
560,子宝や棒をひくのも吉書始,こだからや　ぼうをひくのも　きっしょはじめ,1新年,発句鈔追加
561,すりこ木と並べて張るやはつ暦,すりこぎと　ならべてはるや　はつごよみ,1新年,文政句帖
562,どち向て酒を呑ぞよはつ暦,どちむいて　さけをのむぞよ　はつごよみ,1新年,文政句帖
563,よ所のゝでらちを明けりはつ暦,よそのので　らちをあけけり　はつごよみ,1新年,文政句帖
564,入用のおつ張るはつ暦,いりようの　おっぱる　はつごよみ,1新年,文政七草稿
565,砂壁や針で書てもはつ暦,すなかべや　はりでかいても　はつごよみ,1新年,文政句帖
566,張壁や打つけ書のはつ暦,はりかべや　うちつけがきの　はつごよみ,1新年,文政句帖
567,荒壁や打つけ書のはつ暦,あらかべや　うちつけがきの　はつごよみ,1新年,自筆本
568,古壁や巨燵むかふのはつ暦,ふるかべや　こたつむこうの　はつごよみ,1新年,文政句帖
569,古壁や釘で書たるはつ暦,ふるかべや　くぎでかきたる　はつごよみ,1新年,浅黄空
570,初夢に古郷を見て涙哉,はつゆめに　ふるさとをみて　なみだかな,1新年,寛政句帖
571,正夢や春早々の貧乏神,まさゆめや　はるそうそうの　びんぼうがみ,1新年,七番日記
572,何のその上初夢もなく烏,なんのその　じょうはつゆめも　なくからす,1新年,八番日記
573,初夢の目出度やけして夕けぶり,はつゆめの　めでたやけして　ゆうけぶり,1新年,八番日記
574,初夢を拵へて売る夜寒哉,はつゆめを　こしらえてうる　よさむかな,1新年,文政句帖
575,初夢を拵へて売る会所かな,はつゆめを　こしらえてうる　かいしょかな,1新年,発句集続篇
576,初夢に猫も不二見る寝やう哉,はつゆめに　ねこもふじみる　ねようかな,1新年,文政句帖
577,初夢の不二の山売（る）都哉,はつゆめの　ふじのやまうる　みやこかな,1新年,文政句帖
578,初夢も御座に出されぬ寝言哉,はつゆめも　ござにだされぬ　ねごとかな,1新年,文政句帖
579,はつ夢の御座へ出されぬ寝言哉,はつゆめの　ござへだされぬ　ねごとかな,1新年,文政句帖
580,片乳を握りながらやはつ笑ひ,かたちちを　にぎりながらや　はつわらい,1新年,文政句帖
581,乞食やもらひながらのはつ笑ひ,こつじきや　もらいながらの　はつわらい,1新年,文政句帖
582,一はなに猫がいねつむ坐敷哉,ひとはなに　ねこがいねつむ　ざしきかな,1新年,文政句帖
583,一番に猫がいねつむ座敷哉,いちばんに　ねこがいねつむ　ざしきかな,1新年,浅黄空
584,鶯が迹をつけゝり諷ひ初,うぐいすが　あとをつけけり　うたいぞめ,1新年,文政句帖
585,膝の子も口を明く也はつうたひ,ひざのこも　くちをあくなり　はつうたい,1新年,文政句帖
586,一ぱいにはれきる山の弓始,いっぱいに　はれきるやまの　ゆみはじめ,1新年,享和句帖
587,江戸住は我～敷(も)若湯哉,えどずみは　われわれしきも　わかゆかな,1新年,八番日記
588,湯始の注連とらまえて立子哉,ゆはじめの　しめとらまえて　たつこかな,1新年,希杖本
589,人の世は此山陰も若湯哉,ひとのよは　このやまかげも　わかゆかな,1新年,希杖本
590,百福の始るふいご始哉,ひゃくふくの　はじまるふいご　はじめかな,1新年,文政句帖
591,浴みして旅のしらみを罪始,ゆあみして　たびのしらみを　つみはじめ,1新年,寛政句帖
592,きそ始山の梟笑ふらん,きそはじめ　やまのふくろう　わらうらん,1新年,文化句帖
593,釈迦どのにいくつの兄ぞ着そ始,しゃかどのに　いくつのあにぞ　きそはじめ,1新年,八番日記
594,釈迦どのゝいくつの年ぞ着そ始,しゃかどのの　いくつのとしぞ　きそはじめ,1新年,梅塵八番
595,雪車引や揃（ふ）小みのゝ着そ始,そりひきや　そろうこみのの　きそはじめ,1新年,文政句帖
596,明ぼのゝ春早々に借着哉,あけぼのの　はるそうそうに　かりぎかな,1新年,享和句帖
597,わか水のよしなき人に汲れけり,わかみずの　よしなきひとに　くまれけり,1新年,文化句帖
598,わか水(や)見たばかりでも角田川,わかみずや　みたばかりでも　すみだがわ,1新年,七番日記
599,茶けぶりや我わか水も角田川,ちゃけぶりや　わがわかみずも　すみだがわ,1新年,七番日記
600,名代のわか水浴る雀哉,みょうだいの　わかみずあびる　すずめかな,1新年,七番日記
601,名代のわか水浴る烏かな,みょうだいの　わかみずあびる　からすかな,1新年,八番日記
602,名代にわか水浴る烏かな,みょうだいに　わかみずあびる　からすかな,1新年,おらが春他
603,欲どしくわか水つかふ女哉,よくどしく　わかみずつかう　おんなかな,1新年,七番日記
604,若水に白髪吹かせて自慢哉,わかみずに　しらがふかせて　じまんかな,1新年,七番日記
605,わか水も隣の桶で仕廻けり,わかみずも　となりのおけで　しまいけり,1新年,七番日記
606,わか水や並ぶ雀もまめな顔,わかみずや　ならぶすずめも　まめなかお,1新年,七番日記
607,若水や先は仏のしきみ桶,わかみずや　まづはほとけの　しきみおけ,1新年,七番日記
608,庵の井もけさ若水と呼れけり,いおのいも　けさわかみずと　よばれけり,1新年,八番日記
609,庵の井もけさ若水に汲れけり,いおのいも　けさわかみずに　くまれけり,1新年,希杖本
610,三文が若水あまる庵哉,さんもんが　わかみずあまる　いおりかな,1新年,八番日記
611,三文の若水あまる我家哉,さんもんの　わかみずあまる　わがやかな,1新年,希杖本
612,新桶は同じ水でもわか～し,あらおけは　おなじみずでも　わかわかし,1新年,文政句帖
613,石川やわか水といふも一盛,いしかわや　わかみずというも　ひとざかり,1新年,文政句帖
614,ちとの間(に)はやわか水でなかりけり,ちとのまに　はやわかみずで　なかりけり,1新年,文政句帖
615,一桶をわか水わか湯わか茶哉,ひとおけを　わかみずわかゆ　わかちゃかな,1新年,文政句帖
616,わか水(や)わらが浮ても福といふ,わかみずや　わらがういても　ふくという,1新年,文政句帖
617,小さい子やわか水汲も何番目,ちさいこや　わかみずくみも　なんばんめ,1新年,文政句帖
618,目覚し(に)わか水見るや角田川,めざましに　わかみずみるや　すみだがわ,1新年,文政句帖
619,わか水の歯に染(し)のもむかし哉,わかみずの　はにしみしのも　むかしかな,1新年,文政句帖
620,わか水や土瓶一ツに角田川,わかみずや　どびんひとつに　すみだがわ,1新年,文政句帖
621,若水やそうとつき込（む）梅の花,わかみずや　そうとつきこむ　うめのはな,1新年,嘉永版
622,とし男とし女にもひとり哉,としおとこ　としおんなにも　ひとりかな,1新年,文政句帖
623,手まり唄一ヒ二フ御代の四谷哉,てまりうた　ひいふうみよの　よつやかな,1新年,七番日記
624,鳴く猫に赤ン目と云手まり哉,なくねこに　あかんめという　てまりかな,1新年,八番日記
625,鳴く猫に赤ン目をして手まり哉,なくねこに　あかんめをして　てまりかな,1新年,八番日記他
626,柴門やけまり程でも手まり唄,しばもんや　けまりほどでも　てまりうた,1新年,文政句帖
627,猫の子にかして遊ばす手まり哉,ねこのこに　かしてあそばす　てまりかな,1新年,書簡
628,つく羽を犬が加へて参りけり,つくはねを　いぬがくわえて　まいりけり,1新年,七番日記
629,つく羽を犬が加へてもどりけり,つくはねを　いぬがくわえて　もどりけり,1新年,七番日記
630,つく羽の落る際也三ヶの月,つくはねの　おちるきわなり　みかのつき,1新年,七番日記
631,つく羽の下る際也三ヶの月,つくはねの　くだるきわなり　みかのつき,1新年,七番日記
632,つく羽の下りぎはなり三ヶの月,つくはねの　くだりぎわはり　みかのつき,1新年,発句鈔追加
633,つく羽の落る際より三ヶの月,つくはねの　おちるきわより　みかのつき,1新年,発句集続篇
634,つく羽の転びながらに一ツかな,つくはねの　ころびながらに　ひとつかな,1新年,七番日記
635,つく羽の転びながらも一ツかな,つくはねの　ころびながらも　ひとつかな,1新年,発句鈔追加
636,家飛～凧も三ツ四ツふたつ哉,いえとぶとぶ　たこもみつよつ　ふたつかな,1新年,西国紀行
637,凧青葉を出つ入つ哉,いかのぼり　あおばをいでつ　いりつかな,1新年,西国紀行
638,遠かたや凧の上ゆくほかけ舟,おちかたや　たこのうえゆく　ほかけぶね,1新年,西国紀行
639,日でり雨凧にかゝると思ふ哉,ひでりあめ　たこにかかると　おもうかな,1新年,西国紀行
640,日の暮の山を見かけて凧,ひのくれの　やまをみかけて　いかのぼり,1新年,享和二句記
641,家二ツ三ツ四ツ凧の夕哉,いえふたつ　みつよつたこの　ゆうべかな,1新年,文化句帖
642,凧今木母寺は夜に入るぞ,いかのぼり　いまもくぼじは　よにいるぞ　,1新年,文化句帖
643,凧はや木母寺は夜に入るぞ,いかのぼり　はやもくぼじは　よにいるぞ　,1新年,自筆本
644,凧今木母寺は夜に入りかゝる,いかのぼり　いまもくぼじは　よにいりかかる,1新年,浅黄空
645,山かげや藪のうしろや凧,やまかげや　やぶのうしろや　いかのぼり,1新年,文化句帖
646,けふも～も凧引かゝる榎哉,きょうもきょうも　たこひっかかる　えのきかな,1新年,文化句帖
647,狙引は猿に持せて凧,さるひきは　さるにもたせて　いかのぼり,1新年,文化句帖
648,機音は竹にかくれて凧,はたおとは　たけにかくれて　いかのぼり,1新年,文化句帖
649,凧麦もか程の世也けり,いかのぼり　むぎもかほどの　よなりけり,1新年,七番日記
650,凧麦もケ様な世也けり,いかのぼり　むぎもかような　よなりけり,1新年,七番日記
651,朔日や一文凧も江戸の空,ついたちや　いちもんだこも　えどのそら,1新年,七番日記
652,今様の凧上りけり小食小屋,いまようの　たこあがりけり　こじきごや,1新年,七番日記
653,美しき凧上りけり小食小屋,うつくしき　たこあがりけり　こじきごや,1新年,七番日記
654,今様の凧の上りし山家哉,いまようの　たこのあがりし　やまがかな,1新年,我春集
655,里しんとしてづんづと凧上りけり,さとしんとして　ずんずとたこ　あがりけり,1新年,七番日記
656,辻諷凧も上（つ）ていたりけり,つじうたい　たこもあがって　いたりけり,1新年,七番日記
657,辻諷凧も上（つ）て居りにけり,つじうたい　たこもあがって　おりにけり,1新年,我春集
658,番町や夕飯過の凧,ばんちょうや　ゆうめしすぎの　いかのぼり,1新年,七番日記
659,人の親凧を胯で通りけり,ひとのおや　たこをまたいで　とおりけり,1新年,七番日記
660,凧臼井の外は春じやげな,いかのぼり　うすいのそとは　はるじゃげな,1新年,七番日記
661,大凧や上げ捨てある亦打山,おおだこや　あげすててある　まつちやま,1新年,七番日記
662,京辺や凧の上（る）もむづかしき,みやこべや　たこのあがるも　むづかしき,1新年,七番日記
663,山寺や翌そる児の凧,やまでらや　あすそるちごの　いかのぼり,1新年,七番日記
664,大凧のりんとしてある日暮哉,おおだこの　りんとしてある　ひぐれかな,1新年,七番日記
665,凧の尾を追かけ廻る狗哉,たこのおを　おいかけまわる　えのこかな,1新年,七番日記
666,山陰も市川凧の上りけり,やまかげも　いちかわだこの　あがりけり,1新年,七番日記
667,生神(の)凧とり榎たくましや,いきがみの　たことりえのき　たくましや,1新年,七番日記
668,切凧や脇よれ～といふ先へ,きれだこや　わきよれよれと　いうさきへ,1新年,七番日記
669,凧きれて犬もきよろ～目哉,たこきれて　いぬもきょきょろ　まなこかな,1新年,七番日記
670,人真似や犬の見て居る凧,ひとまねや　いぬのみている　いかのぼり,1新年,七番日記
671,反故凧(の)あたり払て上りけり,ほごだこの　あたりはらいて　あがりけり,1新年,七番日記
672,おはむきに犬もかけるぞ凧,おはむきに　いぬもかけるそ　いかのぼり,1新年,七番日記
673,おはむきに犬もかけるや凧,おはむきに　いぬもかけるや　いかのぼり,1新年,七番日記他
674,気につれて凧もかぶりをふりにけり,きにつれて　たこもかぶりを　ふりにけり,1新年,七番日記
675,背(中)から狙が引也凧の糸,せなかから　さるがひくなり　たこのいと,1新年,七番日記
676,大名の凧も悪口言れけり,だいみょうの　たこもわるぐち　いわれけり,1新年,七番日記
677,凧上てゆるりとしたる小村哉,たこあげて　ゆるりとしたる　こむらかな,1新年,七番日記
678,凧抱たなりですや～寝たりけり,たこだいた　なりですやすや　ねたりけり,1新年,七番日記
679,凧のかぶり猿が守りする日也けり,たこのかぶり　さるがまもりする　ひなりけり,1新年,七番日記
680,何がいやでかぶりふりけり凧,なにがいやで　かぶりふりけり　いかのぼり,1新年,七番日記
681,寝たいやらかぶりふりけり凧,ねたいやら　かぶりふりけり　いかのぼり,1新年,七番日記
682,一と（こ）ろに御代の大凧小凧哉,ひところに　みよのおおだこ　こだこかな,1新年,七番日記
683,反古凧や隣は前田加賀守,ほごだこや　となりはまえだ　かがのかみ,1新年,七番日記
684,本町の行留り也凧の糸,ほんまちの　いきどまりなり　たこのいと,1新年,七番日記
685,むつどのゝ凧とくらべて自慢哉,むつどのの　たことくらべて　じまんかな,1新年,七番日記
686,門前の凧とり榎千代もへん,かどまえの　たことりえのき　ちよもへん,1新年,七番日記
687,親よぶ(や)凧上ながら小順礼,おやよぶや　たこあげながら　こじゅんれい,1新年,八番日記
688,西山や今剃児の凧,にしやまや　いまそるちごの　いかのぼり,1新年,八番日記
689,美しき凧上りけり乞食小屋,うつくしや　たこあがりけり　こじきごや,1新年,発句題叢
690,乞食子や歩ながらの凧,こじきごや　あるきながらの　いかのぼり,1新年,八番日記
691,乞食子や貰ひながらの凧,こじきごや　もらいながらの　いかのぼり,1新年,浅黄空他
692,小順礼もらひながらや凧,こじゅんれい　もらいながらや　いかのぼり,1新年,八番日記
693,すゝけ紙まゝ子の凧としられけり,すすけがみ　ままこのたこと　しられけり,1新年,文政句帖
694,凧上ていかにもせまき通り哉,たこあげて　いかにもせまき　とおりかな,1新年,文政句帖
695,凧の糸引とらまへて寝る子哉,たこのいと　ひきとらまえて　ねるこかな,1新年,文政句帖
696,凧の尾を咥て引や鬼瓦,たこのおを　くわえてひくや　おにがわら,1新年,文政句帖
697,日の暮に凧の揃ふや町の空,ひのくれに　たこのそろうや　まちのそら,1新年,文政句帖
698,まゝつ子やつぎだらけなる凧,ままっこや　つぎだらけなる　いかのぼり,1新年,文政句帖
699,赤い凧引ずり歩くきげん哉,あかいたこ　ひきずりあるく　きげんかな,1新年,文政句帖
700,赤凧を引ずり歩くきげん哉,あかだこを　ひきずりあるく　きげんかな,1新年,浅黄空他
701,あそこらがえどの空かよ凧,あそこらが　えどのそらかよ　いかのぼり,1新年,文政句帖
702,あそこからえどの空かよ凧,あそこから　えどのそらかよ　いかのぼり,1新年,発句集続篇
703,江戸凧の朝からかぶり～哉,えどだこの　あさからかぶり　かぶりかな,1新年,文政句帖
704,江戸凧もこも～゛上る山家哉,えどだこも　こもごもあがる　やまがかな,1新年,文政句帖
705,おとらじと一文凧も上りけり,おとらじと　いちもんだこも　あがりけり,1新年,文政句帖
706,順礼や貰ひながらの凧,じゅんれいや　もらいながらの　いかのぼり,1新年,文政句帖
707,大名のかすみが関や凧,だいみょうの　かすみがせきや　いかのぼり,1新年,文政句帖
708,まゝ子凧つぎのいろ～見へにけり,ままこだこ　つぎのいろいろ　みえにけり,1新年,文政句帖
709,大凧やりんとうごかぬ角田川,おおだこや　りんとうごかぬ　すみだがわ,1新年,希杖本
710,切凧のくる～舞やお茶の水,きれだこの　くるくるまいや　おちゃのみず,1新年,浅黄空
711,芝浦や上げ捨てある凧,しばうらや　あげすててある　いかのぼり,1新年,浅黄空
712,凧抱て直ぐにすや～寝る子哉,たこだいて　すぐにすやすや　ねるこかな,1新年,浅黄空
713,万歳よも一ツはやせ春の雪,まんざいよ　もひとつはやせ　はるのゆき,1新年,享和句帖
714,万歳のまかり出たよ親子連,まんざいの　まかりいでたよ　おやこづれ,1新年,文化句帖
715,万歳のけふも昔に成りにけり,まんざいの　きょうもむかしに　なりにけり,1新年,文化句帖
716,大声や廿日過ての御万歳,おおごえや　はつかすぎての　おまんざい,1新年,七番日記
717,万歳や馬の尻へも一祝,まんざいや　うまのしりへも　ひといわい,1新年,七番日記
718,万ざいや門に居ならぶ鳩雀,まんざいや　かどにいならぶ　はとすずめ,1新年,七番日記
719,万ざいや汝が梅はどの位,まんざいや　なんじがうめは　どのくらい,1新年,七番日記
720,万ざいや麦にも一つ祝ひ捨,まんざいや　むぎにもひとつ　いわいすて,1新年,七番日記
721,万才や五三(の)桐の米袋,まんざいや　ごさんのきりの　こめぶくろ,1新年,七番日記
722,万才や東風にふかるゝ餅袋,まんざいや　こちにふかるる　もちぶくろ,1新年,七番日記
723,鉄下戸であのけんまくや万ざい楽,かなげこで　あのけんまくや　まざいらく,1新年,八番日記
724,誰目(に)も下戸とは見へず万ざい楽,たがめにも　げことはみえず　まんざいらく,1新年,八番日記
725,万歳のははりにしやべる雀哉,まんざいの　かわりにしゃべる　すずめかな,1新年,八番日記
726,万歳の通りにしやべる雀哉,まんざいの　とおりにしゃべる　すずめかな,1新年,文政句帖
727,万才の下戸とはさらに見へざりき,まんざいの　げことはさらに　みえざりき,1新年,八番日記
728,我門や乞食万歳にていはふ,わがかどや　こじきまんざい　にていわう,1新年,八番日記
729,万歳や面もかぶらずほゝやれと,まんざいや　めんもかぶらず　ほほやれと,1新年,文政句帖
730,雨の日や狙起(さ)るゝ猿まはし,あめのひや　さるおこさるる　さるまわし,1新年,西国紀行
731,舞扇猿の涙のかゝる哉,まいおうぎ　さるのなみだの　かかるかな,1新年,七番日記
732,舞扇猿の涙のかゝる也,まいおうぎ　さるのなみだの　かかるなり,1新年,発句類題集
733,舞猿も草臥顔はせざりけり,まいざるも　くたびれがおは　せざりけり,1新年,七番日記
734,我国は猿も烏帽子をかぶりけり,わがくには　さるもえぼしを　かぶりけり,1新年,七番日記
735,我国は猿も祈祷をしたりけり,わがくには　さるもきとうを　したりけり,1新年,七番日記
736,幣とつて猿も祈祷をしたりけり,ぬさとって　さるもきとうを　したりけり,1新年,八番日記
737,わか狙が見い～舞や赤い袖,わかざるが　みいみいまうや　あかいそで,1新年,七番日記
738,御座敷や菓子を見い～猿が舞,おざしきや　かしをみいみい　さるがまう,1新年,八番日記
739,御座敷や菓子を見い～猿の舞,おざしきや　かしをみいみい　さるのまい,1新年,梅塵八番
740,親狙がをしへる舞の手品かな,おやざるが　おしえるまいの　てじなかな,1新年,八番日記
741,舞猿や餅いたゞきて子にくれる,まいざるや　もちいただきて　こにくれる,1新年,八番日記
742,舞猿や餅いたゞいて子にくれる,まいざるや　もちいただいて　こにくれる,1新年,梅塵八番
743,矢の先や子を(背)負ひつゝ猿廻,やのさきや　こをせおいつつ　さるまわし,1新年,一茶園
744,乞食も福大黒のつもり哉,こつじきも　ふくだいこくの　つもりかな,1新年,七番日記
745,舞込だ福大黒と梅の花,まいこんだ　ふくだいこくと　うめのはな,1新年,七番日記
746,獅子舞や大口明て梅の花,ししまいや　おおぐちあけて　うめのはな,1新年,七番日記
747,門獅子やしゝが口から梅の花,かどじしや　ししがくちから　うめのはな,1新年,希杖本
748,乞食の春駒などもかすみ哉,こつじきの　はるこまなども　かすみかな,1新年,七番日記
749,春駒の歌でとかすや門の雪,はるこまの　うたでとかすや　かどのゆき,1新年,七番日記
750,春駒は竹でしてさへいさみけり,はるこまは　たけでしてさえ　いさみけり,1新年,八番日記
751,春駒は竹でしてさへいたみけり,はるこまは　たけでしてさえ　いたみけり,1新年,梅塵八番
752,春駒や人が真似てもいさましき,はるこまや　ひとがまねても　いさましき,1新年,文政句帖
753,春駒を人のしてさへいさみけり,はるこまを　ひとのしてさえ　いさみけり,1新年,希杖本
754,君が世や旅にしあれど笥の雑煮,きみがよや　たびにしあれど　けのぞうに,1新年,寛政句帖
755,雑煮餅深山榊もおり添よ,ぞうにもち　みやまさかきも　おりぞえよ,1新年,享和二句記
756,無造作に春は来にけり粟雑煮,むぞうさに　はるはきにけり　あわぞうに,1新年,七番日記
757,我庵や元日も来る雑煮売,わがいおや　がんじつもくる　ぞうにうり,1新年,七番日記
758,窓先や元日も来る雑煮売,まどさきや　がんじつもくる　ぞうにうり,1新年,浅黄空他
759,神の代はおらも四角な雑煮哉,かみのよは　おらもしかくな　ぞうにかな,1新年,七番日記
